,place,goal,source,prior_spec,mean_gNID,mean_epsilon,mu
0,0,0.8,-0.8,place_goal_source,0.22902002443635594,0.029353710651207718,0.2
0,0,0.8,-0.9,place_goal_source,0.21573226708161417,0.027999150229747388,0.2
0,0,0.8,-1,place_goal_source,0.21487657021207715,0.028642086726431138,0.2
0,0,0.8,-1.1,place_goal_source,0.22054021510666283,0.0304064939230539,0.2
0,0,0.8,-1.2,place_goal_source,0.22914684037828756,0.03281840810610856,0.2
0,0,0.8,-1.3,place_goal_source,0.23702655934301203,0.035486311056235516,0.2
0,0,0.9,-0.8,place_goal_source,0.2560934449046704,0.033343435001243045,0.2
0,0,0.9,-0.9,place_goal_source,0.24146058309055998,0.03019388730874262,0.2
0,0,0.9,-1,place_goal_source,0.23291186000771233,0.029445936606173458,0.2
0,0,0.9,-1.1,place_goal_source,0.23228306355014947,0.03036045858538543,0.2
0,0,0.9,-1.2,place_goal_source,0.23531887521763153,0.03214578543082737,0.2
0,0,0.9,-1.3,place_goal_source,0.24169850968801135,0.03449136784665772,0.2
0,0,1,-0.8,place_goal_source,0.2852116624570658,0.03980257300504879,0.2
0,0,1,-0.9,place_goal_source,0.27274280516196386,0.03546001883450977,0.2
0,0,1,-1,place_goal_source,0.26128693426962785,0.033392278768081575,0.2
0,0,1,-1.1,place_goal_source,0.2581825359670793,0.03333264052619477,0.2
0,0,1,-1.2,place_goal_source,0.25737703375888993,0.0344595510918261,0.2
0,0,1,-1.3,place_goal_source,0.2586458230496373,0.03628146302484784,0.2
0,0,1.1,-0.8,place_goal_source,0.3139653225646271,0.04775929207275948,0.2
0,0,1.1,-0.9,place_goal_source,0.30237834004575903,0.04282300189895571,0.2
0,0,1.1,-1,place_goal_source,0.29085929198089333,0.039718226997315545,0.2
0,0,1.1,-1.1,place_goal_source,0.28463013939850207,0.03878204995517676,0.2
0,0,1.1,-1.2,place_goal_source,0.28201176946933354,0.03936263796271244,0.2
0,0,1.1,-1.3,place_goal_source,0.28089006845373327,0.04078141984848112,0.2
0,0,1.2,-0.8,place_goal_source,0.33945658780411364,0.056859097701998845,0.2
0,0,1.2,-0.9,place_goal_source,0.3263493692901319,0.05156825650420308,0.2
0,0,1.2,-1,place_goal_source,0.315906047556461,0.047654704749440085,0.2
0,0,1.2,-1.1,place_goal_source,0.30623551137356686,0.0459549906535418,0.2
0,0,1.2,-1.2,place_goal_source,0.3014220100154546,0.04597786450579577,0.2
0,0,1.2,-1.3,place_goal_source,0.2992151211280059,0.047019038369365496,0.2
0,0,1.3,-0.8,place_goal_source,0.3588156037606298,0.06682569663429601,0.2
0,0,1.3,-0.9,place_goal_source,0.3467422981016339,0.06117148407219848,0.2
0,0,1.3,-1,place_goal_source,0.3366316510287381,0.056703768062872,0.2
0,0,1.3,-1.1,place_goal_source,0.32645603231233106,0.0542736944425222,0.2
0,0,1.3,-1.2,place_goal_source,0.3192255387747016,0.05371413546906993,0.2
0,0,1.3,-1.3,place_goal_source,0.3161580773846912,0.054435244771301475,0.2
0,0,0.8,-0.8,place_goal_source,0.23658056196651903,0.01955087766814014,0.3
0,0,0.8,-0.9,place_goal_source,0.22288516847368955,0.0188147225088877,0.3
0,0,0.8,-1,place_goal_source,0.22290994255767776,0.019489088750548614,0.3
0,0,0.8,-1.1,place_goal_source,0.2293470608355478,0.02099445177404673,0.3
0,0,0.8,-1.2,place_goal_source,0.23870282675268814,0.023002954435684127,0.3
0,0,0.8,-1.3,place_goal_source,0.24803026651124682,0.0253644731646399,0.3
